Meal Choice,Meal Cost,Tourist_Country,Cities,is_canceled,lead_time,arrival_date_year,arrival_date_month,Quarters ,stays_in_weekend_nights,stays_in_week_nights,Total_Stay_Days,Adults,Children,Market_segment,Distribution_channel,Room Class,Room Cost ,Total Room Cost ,Deposit_type,days_in_waiting_list,customer_type,Reservation_status,Overall Cost,
Full Meal,300, Italy  , Chennai,1,92,2025,May,0,4,10,14,2,2,Online TA,TA/TO,E,600,8400,Non Refundable,2,Transient,Check-Out,8700,
Self Catering,200,Europe, Mumbai,1,114,2021,January,1,2,2,4,2,0,Online TA,TA/TO,A,1000,4000,No Deposit ,2,Transient,No-Show,4200,
Self Catering,200, Nepal  , Lucknow,0,65,2022,December,0,2,2,4,2,0,Direct,Direct,A,1000,4000,Refundable,2,Transient,Canceled,4200,
Self Catering,200,Europe, Ahmedabad,1,106,2022,April,1,2,4,6,2,2,Online TA,TA/TO,B,900,5400,Advance,4,Transient,No-Show,5600,
Bed & Breakfast,100, Nepal  , Delhi,0,83,2024,May,0,2,5,7,2,0,Offline TA/TO,TA/TO,A,1000,7000,Refundable,4,Transient,No-Show,7100,
Self Catering,200,Europe, Jaipur,1,158,2025,November,0,2,5,7,2,0,Online TA,TA/TO,E,600,4200,Advance,4,Transient,Check-Out,4400,
Self Catering,200, Nepal  , Mumbai,0,86,2022,October,0,2,5,7,2,0,Offline TA/TO,TA/TO,A,1000,7000,Advance,2,Transient,Check-Out,7200,
No Meal,0, Spain  , Pune,0,103,2023,May,0,2,5,7,2,0,Online TA,TA/TO,E,600,4200,Advance,3,Transient,Canceled,4200,
Bed & Breakfast,100, Iran  , Hyderabad,1,158,2021,July,0,2,5,7,2,0,Online TA,TA/TO,A,1000,7000,Advance,2,Transient,Canceled,7100,
Bed & Breakfast,100,Europe, Mumbai,0,125,2022,September,1,2,5,7,2,0,Offline TA/TO,TA/TO,D,700,4900,No Deposit ,1,Contract,No-Show,5000,
Bed & Breakfast,100, Italy  , Delhi,1,4,2022,August,1,4,6,10,3,0,Offline TA/TO,TA/TO,F,500,5000,Non Refundable,1,Transient,Canceled,5100,
No Meal,0, Spain  , Lucknow,0,131,2023,July,0,4,7,11,2,0,Offline TA/TO,TA/TO,A,1000,11000,Refundable,2,Transient,Check-Out,11000,
Bed & Breakfast,100, China  , Goa,0,125,2025,June,1,4,7,11,2,0,Offline TA/TO,TA/TO,A,1000,11000,Advance,1,Contract,No-Show,11100,
Half Meal,150, Iran  , Mumbai,0,93,2023,March,1,4,7,11,2,0,Offline TA/TO,TA/TO,F,500,5500,No Deposit ,4,Transient,No-Show,5650,
Bed & Breakfast,100, China  , Hyderabad,1,185,2023,March,0,1,1,2,2,0,Groups,TA/TO,C,800,1600,Non Refundable,2,Transient-Party,Check-Out,1700,
No Meal,0, Iran  , Kolkata,1,34,2020,May,0,1,1,2,1,0,Groups,TA/TO,A,1000,2000,No Deposit ,1,Transient-Party,Check-Out,2000,
No Meal,0, Iran  , Kochi,1,12,2023,May,1,1,1,2,1,0,Groups,TA/TO,C,800,1600,Non Refundable,4,Transient-Party,No-Show,1600,
Full Meal,300, Italy  , Kolkata,0,130,2021,June,0,1,1,2,2,0,Online TA,TA/TO,C,800,1600,Non Refundable,4,Transient,Canceled,1900,
Self Catering,200, Iran  , Delhi,1,185,2024,May,1,1,1,2,2,0,Groups,TA/TO,C,800,1600,Refundable,2,Transient-Party,Canceled,1800,
Bed & Breakfast,100,USA  , Mumbai,1,185,2024,January,0,1,1,2,2,0,Groups,TA/TO,B,900,1800,Non Refundable,2,Transient-Party,Canceled,1900,
Full Meal,300,USA  , Indore,1,33,2020,November,0,1,1,2,2,0,Groups,TA/TO,F,500,1000,Refundable,4,Transient-Party,No-Show,1300,
Bed & Breakfast,100, Italy  , Goa,1,185,2022,June,1,1,1,2,2,0,Groups,TA/TO,C,800,1600,Advance,2,Transient-Party,Check-Out,1700,
No Meal,0, Spain  , Chandigarh,0,121,2024,August,0,1,1,2,2,0,Online TA,TA/TO,D,700,1400,No Deposit ,3,Transient,No-Show,1400,
No Meal,0, Norway  , Indore,1,58,2021,June,1,1,1,2,2,0,Groups,TA/TO,C,800,1600,Non Refundable,1,Transient-Party,Canceled,1600,
Full Meal,300, China  , Chandigarh,0,185,2023,November,0,1,1,2,2,0,Groups,TA/TO,C,800,1600,Non Refundable,4,Transient-Party,No-Show,1900,
Half Meal,150,USA  , Bangalore,0,128,2025,October,0,1,2,3,2,0,Online TA,TA/TO,D,700,2100,No Deposit ,1,Transient,Check-Out,2250,
Self Catering,200, China  , Delhi,0,111,2021,June,1,1,2,3,2,0,Online TA,TA/TO,B,900,2700,Non Refundable,2,Transient,No-Show,2900,
Self Catering,200, China  , Bangalore,1,349,2020,March,0,1,3,4,27,0,Direct,Direct,E,600,2400,No Deposit ,2,Group,Check-Out,2600,
Self Catering,200, China  , Ahmedabad,1,73,2025,October,0,1,4,5,1,0,Online TA,TA/TO,A,1000,5000,Advance,1,Transient,Canceled,5200,
Bed & Breakfast,100,USA  , Jaipur,1,61,2022,July,0,1,5,6,2,0,Online TA,TA/TO,F,500,3000,Refundable,4,Transient,Canceled,3100,
Full Meal,300, Spain  , Bhopal,0,94,2021,January,0,2,5,7,2,0,Offline TA/TO,TA/TO,F,500,3500,No Deposit ,2,Transient,Check-Out,3800,
Self Catering,200, Portugal  , Kolkata,0,96,2024,April,1,2,5,7,2,0,Offline TA/TO,TA/TO,D,700,4900,No Deposit ,4,Transient,No-Show,5100,
No Meal,0, Norway  , Goa,0,109,2020,May,1,2,5,7,2,0,Offline TA/TO,TA/TO,A,1000,7000,Non Refundable,2,Contract,Canceled,7000,
Self Catering,200, China  , Chandigarh,0,65,2025,August,1,2,5,7,2,0,Online TA,TA/TO,C,800,5600,Advance,1,Transient,Canceled,5800,
No Meal,0, Spain  , Ahmedabad,0,124,2025,February,0,2,5,7,2,0,Online TA,TA/TO,F,500,3500,Non Refundable,4,Transient,No-Show,3500,
Half Meal,150, Italy  , Delhi,0,84,2022,July,1,2,5,7,2,0,Offline TA/TO,TA/TO,E,600,4200,No Deposit ,4,Transient,No-Show,4350,
Full Meal,300, Portugal  , Delhi,0,95,2021,December,0,3,6,9,2,0,Online TA,TA/TO,E,600,5400,Advance,4,Transient,No-Show,5700,
Bed & Breakfast,100, Norway  , Lucknow,0,90,2024,September,1,3,7,10,2,0,Online TA,TA/TO,C,800,8000,No Deposit ,2,Transient,No-Show,8100,
Bed & Breakfast,100, Norway  , Goa,0,90,2025,July,0,3,7,10,2,0,Online TA,TA/TO,D,700,7000,Non Refundable,4,Transient,Canceled,7100,
Self Catering,200, China  , Hyderabad,0,112,2021,September,0,3,7,10,2,0,Offline TA/TO,TA/TO,E,600,6000,No Deposit ,1,Transient,Check-Out,6200,
Bed & Breakfast,100, Nepal  , Bangalore,0,130,2025,January,0,3,8,11,2,0,Offline TA/TO,TA/TO,B,900,9900,Refundable,4,Contract,No-Show,10000,
No Meal,0, Spain  , Chandigarh,0,78,2024,September,1,0,2,2,2,0,Online TA,TA/TO,A,1000,2000,Non Refundable,3,Transient,Canceled,2000,
Self Catering,200, China  , Bangalore,1,36,2024,August,1,0,4,4,2,0,Online TA,TA/TO,A,1000,4000,Refundable,3,Transient,Canceled,4200,
Half Meal,150, Nepal  , Pune,1,159,2021,November,0,0,5,5,2,0,Online TA,TA/TO,F,500,2500,No Deposit ,4,Transient,Canceled,2650,
Bed & Breakfast,100, Norway  , Goa,1,75,2021,June,0,2,5,7,2,0,Online TA,TA/TO,A,1000,7000,Non Refundable,3,Transient,Check-Out,7100,
No Meal,0,Europe, Jaipur,0,158,2024,January,0,2,5,7,2,0,Online TA,TA/TO,D,700,4900,Advance,1,Transient,Canceled,4900,
Self Catering,200,Europe, Lucknow,0,108,2020,October,0,2,5,7,2,0,Direct,Direct,C,800,5600,No Deposit ,4,Transient,Canceled,5800,
Full Meal,300, Spain  , Chennai,0,158,2022,May,1,2,5,7,2,0,Online TA,TA/TO,A,1000,7000,Non Refundable,1,Transient,Canceled,7300,
Self Catering,200, Nepal  , Hyderabad,0,70,2021,July,0,2,5,7,2,0,Offline TA/TO,TA/TO,D,700,4900,Non Refundable,3,Transient,Check-Out,5100,
Half Meal,150, Norway  , Chennai,1,1,2024,December,0,0,3,3,2,0,Direct,Direct,A,1000,3000,Non Refundable,3,Transient,Check-Out,3150,
No Meal,0, Norway  , Bhopal,0,76,2022,October,1,2,6,8,2,0,Online TA,TA/TO,B,900,7200,Refundable,3,Transient,Check-Out,7200,
Half Meal,150, Italy  , Kolkata,1,183,2023,July,0,2,8,10,2,0,Direct,Direct,F,500,5000,Refundable,1,Transient,Canceled,5150,
No Meal,0, Nepal  , Kochi,0,21,2025,October,0,0,1,1,2,0,Corporate,Corporate,C,800,800,Refundable,2,Transient-Party,Canceled,800,
Bed & Breakfast,100, Portugal  , Chennai,0,21,2023,March,1,0,1,1,2,0,Corporate,Corporate,E,600,600,Non Refundable,2,Transient-Party,Canceled,700,
Bed & Breakfast,100, Norway  , Bhopal,0,21,2023,December,0,0,1,1,2,0,Corporate,Corporate,D,700,700,Advance,3,Transient-Party,Check-Out,800,
Self Catering,200,Europe, Hyderabad,1,21,2023,March,1,0,1,1,2,0,Corporate,Corporate,A,1000,1000,Refundable,3,Transient,No-Show,1200,
Bed & Breakfast,100, China  , Delhi,1,21,2023,May,0,0,1,1,2,0,Corporate,Corporate,E,600,600,Advance,1,Transient-Party,Canceled,700,
No Meal,0,USA  , Jaipur,0,34,2025,July,0,0,2,2,2,0,Online TA,TA/TO,D,700,1400,Refundable,1,Transient,No-Show,1400,
Full Meal,300,USA  , Pune,0,119,2025,December,1,0,2,2,2,0,Online TA,TA/TO,B,900,1800,Refundable,2,Transient,Check-Out,2100,
Self Catering,200, Nepal  , Kochi,1,6,2023,June,1,0,2,2,1,0,Offline TA/TO,TA/TO,D,700,1400,Non Refundable,3,Transient,No-Show,1600,
Self Catering,200, China  , Hyderabad,1,6,2020,February,1,0,2,2,1,0,Offline TA/TO,TA/TO,A,1000,2000,Refundable,3,Transient,No-Show,2200,
Full Meal,300,USA  , Mumbai,0,8,2020,June,0,1,4,5,2,0,Offline TA/TO,TA/TO,E,600,3000,Non Refundable,2,Transient,Check-Out,3300,
Half Meal,150, Italy  , Bangalore,1,68,2020,September,1,0,4,4,2,0,Online TA,TA/TO,C,800,3200,Refundable,4,Transient,Check-Out,3350,
Self Catering,200, Portugal  , Ahmedabad,1,68,2022,January,1,0,4,4,2,0,Online TA,TA/TO,D,700,2800,Non Refundable,1,Transient,Check-Out,3000,
Bed & Breakfast,100, China  , Lucknow,0,137,2021,February,1,2,5,7,2,0,Online TA,TA/TO,D,700,4900,Refundable,3,Transient,Canceled,5000,
Full Meal,300, Portugal  , Ahmedabad,0,154,2025,March,0,2,6,8,3,0,Direct,Direct,B,900,7200,No Deposit ,3,Transient,Check-Out,7500,
Bed & Breakfast,100, Spain  , Ahmedabad,0,76,2022,November,1,2,7,9,2,0,Offline TA/TO,TA/TO,C,800,7200,No Deposit ,4,Contract,Check-Out,7300,
Full Meal,300,Europe, Ahmedabad,0,21,2022,May,0,0,3,3,2,0,Online TA,TA/TO,F,500,1500,Advance,4,Transient,No-Show,1800,
No Meal,0, Spain  , Goa,0,71,2025,April,0,0,2,2,2,0,Offline TA/TO,TA/TO,C,800,1600,Non Refundable,2,Contract,Canceled,1600,
Bed & Breakfast,100, Portugal  , Bhopal,0,36,2023,September,1,0,2,2,2,0,Online TA,TA/TO,F,500,1000,Non Refundable,2,Transient,Canceled,1100,
No Meal,0, Spain  , Kolkata,0,64,2025,November,0,0,3,3,2,0,Online TA,TA/TO,B,900,2700,Refundable,1,Transient,Canceled,2700,
No Meal,0,USA  , Chennai,0,29,2021,February,0,0,1,1,2,0,Offline TA/TO,TA/TO,E,600,600,No Deposit ,4,Transient,No-Show,600,
Self Catering,200, Spain  , Goa,1,352,2024,January,0,1,3,4,27,0,Direct,Direct,A,1000,4000,Non Refundable,3,Group,Canceled,4200,
Bed & Breakfast,100,Europe, Pune,0,76,2022,April,1,2,3,5,2,0,Online TA,TA/TO,A,1000,5000,Advance,3,Transient,Check-Out,5100,
No Meal,0, Portugal  , Lucknow,0,76,2023,December,0,2,3,5,2,0,Online TA,TA/TO,F,500,2500,Non Refundable,1,Transient,No-Show,2500,
Half Meal,150, Nepal  , Chandigarh,0,75,2025,May,0,2,5,7,2,0,Offline TA/TO,TA/TO,F,500,3500,Advance,3,Contract,Canceled,3650,
No Meal,0, Portugal  , Chandigarh,0,115,2020,October,0,2,5,7,2,0,Online TA,TA/TO,F,500,3500,Non Refundable,4,Transient,Canceled,3500,
No Meal,0, Italy  , Kolkata,0,84,2023,December,0,2,8,10,2,0,Offline TA/TO,TA/TO,A,1000,10000,Non Refundable,3,Contract,Canceled,10000,
Self Catering,200, Nepal  , Goa,0,77,2025,March,0,4,10,14,2,0,Offline TA/TO,TA/TO,E,600,8400,No Deposit ,4,Contract,Check-Out,8600,
Half Meal,150, Italy  , Chennai,1,7,2024,July,1,0,1,1,3,0,Direct,Direct,A,1000,1000,Refundable,1,Transient,Check-Out,1150,
No Meal,0,Europe, Pune,0,0,2024,August,1,0,1,1,2,0,Online TA,TA/TO,D,700,700,Non Refundable,3,Group,Canceled,700,
Full Meal,300, Spain  , Jaipur,0,16,2025,April,1,0,1,1,1,0,Direct,Direct,C,800,800,Advance,1,Transient-Party,Check-Out,1100,
Bed & Breakfast,100,USA  , Chandigarh,0,2,2023,March,1,0,1,1,2,2,Online TA,TA/TO,D,700,700,Non Refundable,3,Transient,No-Show,800,
Full Meal,300,USA  , Mumbai,0,16,2020,August,1,0,1,1,1,0,Direct,Direct,C,800,800,No Deposit ,1,Transient-Party,Check-Out,1100,
Self Catering,200, China  , Hyderabad,0,0,2024,June,0,0,1,1,2,0,Direct,Direct,E,600,600,Refundable,2,Transient,Canceled,800,
No Meal,0,USA  , Delhi,0,9,2025,May,0,0,2,2,2,0,Online TA,TA/TO,A,1000,2000,Refundable,4,Transient,Canceled,2000,
Full Meal,300, Italy  , Mumbai,0,8,2021,January,1,0,2,2,2,0,Online TA,TA/TO,E,600,1200,No Deposit ,3,Transient,Canceled,1500,
No Meal,0, Spain  , Ahmedabad,1,109,2020,July,1,0,2,2,2,0,Online TA,TA/TO,D,700,1400,Refundable,1,Transient,Canceled,1400,
Bed & Breakfast,100, Italy  , Lucknow,0,9,2025,September,1,0,2,2,2,0,Online TA,TA/TO,D,700,1400,Non Refundable,1,Transient,Check-Out,1500,
Full Meal,300, Spain  , Goa,0,8,2025,June,0,0,2,2,2,0,Online TA,TA/TO,F,500,1000,Non Refundable,1,Transient,No-Show,1300,
No Meal,0, Iran  , Chennai,1,60,2022,March,1,2,3,5,2,0,Online TA,TA/TO,F,500,2500,Advance,3,Transient,Check-Out,2500,
No Meal,0, Portugal  , Indore,0,79,2024,January,0,2,3,5,2,0,Direct,Direct,E,600,3000,Non Refundable,3,Transient,Canceled,3000,
Self Catering,200,Europe, Kolkata,0,79,2025,March,1,2,3,5,2,0,Direct,Direct,E,600,3000,Advance,3,Transient,Canceled,3200,
Full Meal,300, Italy  , Ahmedabad,1,67,2021,March,0,2,4,6,2,0,Online TA,TA/TO,A,1000,6000,No Deposit ,3,Transient,Check-Out,6300,
Half Meal,150,Europe, Bangalore,1,74,2025,April,1,2,5,7,2,0,Online TA,TA/TO,A,1000,7000,Advance,2,Transient,No-Show,7150,
No Meal,0, Iran  , Goa,0,119,2020,June,1,2,5,7,2,0,Offline TA/TO,TA/TO,E,600,4200,Advance,1,Transient,Canceled,4200,
Full Meal,300,USA  , Chennai,0,51,2022,September,0,2,5,7,2,0,Online TA,TA/TO,E,600,4200,Advance,2,Transient,No-Show,4500,
Full Meal,300, Spain  , Kolkata,0,106,2024,May,1,2,5,7,2,0,Online TA,TA/TO,C,800,5600,No Deposit ,1,Transient,No-Show,5900,
Self Catering,200, China  , Pune,0,119,2020,January,0,2,6,8,2,0,Online TA,TA/TO,C,800,6400,Advance,1,Transient,Canceled,6600,
Half Meal,150, Nepal  , Bhopal,1,74,2022,January,1,2,5,7,2,0,Online TA,TA/TO,C,800,5600,Refundable,2,Transient,Canceled,5750,
Half Meal,150, Italy  , Pune,0,39,2023,January,1,0,1,1,2,0,Online TA,TA/TO,D,700,700,Non Refundable,3,Transient,Check-Out,850,
Self Catering,200, China  , Bhopal,0,1,2025,April,0,1,1,2,2,0,Online TA,TA/TO,E,600,1200,Advance,1,Transient,Check-Out,1400,
Half Meal,150, Spain  , Mumbai,1,37,2024,July,1,1,1,2,2,0,Online TA,TA/TO,D,700,1400,No Deposit ,3,Transient,Canceled,1550,
Half Meal,150,USA  , Jaipur,1,37,2024,January,0,1,1,2,2,1,Online TA,TA/TO,B,900,1800,Non Refundable,2,Transient,No-Show,1950,
Self Catering,200,Europe, Jaipur,0,10,2021,July,1,1,1,2,2,0,Corporate,Corporate,F,500,1000,Non Refundable,2,Transient-Party,Check-Out,1200,
Bed & Breakfast,100, Italy  , Delhi,1,75,2024,April,1,1,1,2,2,0,Online TA,TA/TO,A,1000,2000,Advance,3,Transient,Check-Out,2100,
Self Catering,200,USA  , Lucknow,1,59,2025,January,0,1,1,2,2,0,Offline TA/TO,TA/TO,A,1000,2000,Refundable,2,Transient,Check-Out,2200,
Self Catering,200, Italy  , Indore,1,61,2020,March,1,2,1,3,2,0,Online TA,TA/TO,D,700,2100,Refundable,3,Transient,No-Show,2300,
Self Catering,200, Iran  , Bangalore,1,61,2021,March,1,2,1,3,2,0,Online TA,TA/TO,B,900,2700,Non Refundable,1,Transient,Canceled,2900,
Self Catering,200, Italy  , Lucknow,1,61,2020,August,1,2,1,3,2,0,Online TA,TA/TO,C,800,2400,No Deposit ,1,Transient,No-Show,2600,
Half Meal,150, Portugal  , Indore,0,44,2020,December,1,2,1,3,2,0,Direct,Direct,A,1000,3000,Advance,1,Transient,Canceled,3150,
Full Meal,300,USA  , Kolkata,0,47,2022,February,1,2,3,5,2,0,Online TA,TA/TO,A,1000,5000,Advance,1,Transient,No-Show,5300,
No Meal,0, Italy  , Chandigarh,0,64,2020,February,0,2,4,6,2,0,Online TA,TA/TO,D,700,4200,Advance,2,Transient,No-Show,4200,
Bed & Breakfast,100, Nepal  , Delhi,1,354,2020,April,0,2,5,7,26,0,Offline TA/TO,TA/TO,A,1000,7000,Refundable,2,Group,Canceled,7100,
Half Meal,150, Portugal  , Kolkata,0,98,2022,February,1,2,5,7,2,0,Direct,Direct,A,1000,7000,Advance,2,Transient,Check-Out,7150,
Bed & Breakfast,100, Nepal  , Jaipur,0,136,2020,June,0,2,5,7,2,0,Offline TA/TO,TA/TO,F,500,3500,Refundable,3,Transient,Check-Out,3600,
Full Meal,300, Italy  , Jaipur,0,116,2021,September,1,2,5,7,2,0,Online TA,TA/TO,C,800,5600,No Deposit ,2,Transient,Canceled,5900,
Half Meal,150,USA  , Hyderabad,1,54,2024,November,1,2,6,8,2,0,Online TA,TA/TO,B,900,7200,Advance,2,Transient,Check-Out,7350,
Self Catering,200, China  , Chandigarh,0,41,2023,March,0,2,2,4,2,0,Online TA,TA/TO,B,900,3600,Refundable,4,Transient,Canceled,3800,
Self Catering,200, Portugal  , Ahmedabad,0,11,2023,October,0,1,0,1,2,0,Corporate,Corporate,A,1000,1000,Refundable,4,Transient-Party,No-Show,1200,
Half Meal,150,USA  , Jaipur,0,32,2024,February,1,1,0,1,2,0,Offline TA/TO,TA/TO,A,1000,1000,Advance,3,Transient,No-Show,1150,
No Meal,0,Europe, Bhopal,1,73,2020,January,1,2,1,3,2,0,Online TA,TA/TO,A,1000,3000,No Deposit ,2,Transient,Check-Out,3000,
No Meal,0,Europe, Bangalore,0,53,2024,August,1,2,3,5,2,0,Online TA,TA/TO,C,800,4000,Refundable,1,Transient,Check-Out,4000,
Bed & Breakfast,100, Spain  , Kolkata,0,100,2025,June,1,2,5,7,2,0,Offline TA/TO,TA/TO,C,800,5600,No Deposit ,2,Transient,Check-Out,5700,
No Meal,0,USA  , Delhi,0,73,2024,October,1,2,5,7,2,0,Offline TA/TO,TA/TO,B,900,6300,Non Refundable,3,Contract,Check-Out,6300,
Half Meal,150, Iran  , Mumbai,0,177,2020,May,1,2,5,7,2,0,Offline TA/TO,TA/TO,A,1000,7000,Advance,4,Contract,No-Show,7150,
No Meal,0, Italy  , Mumbai,0,51,2025,September,1,2,5,7,2,0,Offline TA/TO,TA/TO,B,900,6300,Non Refundable,4,Contract,Check-Out,6300,
Half Meal,150, China  , Bhopal,1,81,2023,November,0,2,5,7,2,0,Online TA,TA/TO,A,1000,7000,Refundable,1,Transient,No-Show,7150,
Bed & Breakfast,100, Spain  , Bhopal,0,47,2025,April,0,2,5,7,2,0,Offline TA/TO,TA/TO,C,800,5600,No Deposit ,3,Contract,No-Show,5700,
Half Meal,150, Portugal  , Bangalore,1,81,2025,October,0,2,5,7,2,0,Online TA,TA/TO,A,1000,7000,Refundable,4,Transient,Canceled,7150,
Self Catering,200, Portugal  , Jaipur,0,163,2021,October,0,2,5,7,2,0,Offline TA/TO,TA/TO,D,700,4900,Advance,1,Contract,Canceled,5100,
Half Meal,150, China  , Pune,0,59,2022,February,1,2,5,7,2,0,Online TA,TA/TO,B,900,6300,Advance,4,Transient,Canceled,6450,
Full Meal,300,USA  , Chennai,1,55,2021,February,1,3,5,8,2,0,Direct,Direct,B,900,7200,Non Refundable,4,Transient,Canceled,7500,
Half Meal,150,Europe, Delhi,0,97,2023,September,0,4,6,10,2,0,Online TA,TA/TO,C,800,8000,Advance,3,Transient,Canceled,8150,
Half Meal,150,USA  , Delhi,0,85,2021,April,1,4,8,12,2,0,Online TA,TA/TO,B,900,10800,Non Refundable,4,Transient,Check-Out,10950,
Bed & Breakfast,100,USA  , Hyderabad,0,177,2025,February,1,4,10,14,1,0,Offline TA/TO,TA/TO,A,1000,14000,Non Refundable,3,Contract,No-Show,14100,
Half Meal,150,Europe, Kolkata,0,0,2021,December,0,1,0,1,1,0,Online TA,TA/TO,B,900,900,Refundable,4,Transient,Canceled,1050,
Bed & Breakfast,100, Portugal  , Indore,0,0,2025,June,1,1,1,2,2,0,Online TA,TA/TO,F,500,1000,No Deposit ,1,Transient,Check-Out,1100,
Bed & Breakfast,100, China  , Bhopal,1,80,2025,July,0,1,3,4,2,0,Online TA,TA/TO,A,1000,4000,No Deposit ,4,Transient,Canceled,4100,
Half Meal,150, Spain  , Chennai,1,77,2020,January,0,1,3,4,2,0,Offline TA/TO,TA/TO,B,900,3600,No Deposit ,4,Transient,No-Show,3750,
Self Catering,200, Italy  , Pune,0,69,2024,June,0,1,3,4,1,0,Online TA,TA/TO,C,800,3200,Refundable,2,Transient,Check-Out,3400,
Half Meal,150, Iran  , Kolkata,1,80,2021,November,0,1,3,4,2,0,Online TA,TA/TO,D,700,2800,Non Refundable,3,Transient,No-Show,2950,
Self Catering,200, Portugal  , Bangalore,1,77,2024,September,1,1,3,4,2,0,Online TA,TA/TO,F,500,2000,Non Refundable,2,Transient,Canceled,2200,
No Meal,0, Portugal  , Kolkata,0,56,2021,October,1,1,3,4,2,0,Offline TA/TO,TA/TO,C,800,3200,No Deposit ,3,Transient,No-Show,3200,
No Meal,0, Nepal  , Bhopal,1,77,2021,June,0,1,3,4,2,0,Online TA,TA/TO,D,700,2800,Advance,3,Transient,No-Show,2800,
Self Catering,200, Norway  , Delhi,1,80,2021,January,0,1,3,4,1,0,Online TA,TA/TO,E,600,2400,Non Refundable,3,Transient,No-Show,2600,
Bed & Breakfast,100, China  , Indore,1,80,2022,August,0,1,3,4,2,0,Online TA,TA/TO,B,900,3600,Non Refundable,4,Transient,Check-Out,3700,
No Meal,0, Iran  , Lucknow,1,98,2022,October,0,1,3,4,2,0,Online TA,TA/TO,D,700,2800,No Deposit ,3,Transient,Check-Out,2800,
Bed & Breakfast,100, Norway  , Jaipur,1,56,2022,August,1,2,5,7,2,0,Online TA,TA/TO,B,900,6300,Advance,1,Transient,Check-Out,6400,
No Meal,0,USA  , Jaipur,0,60,2020,June,0,2,5,7,2,0,Offline TA/TO,TA/TO,F,500,3500,No Deposit ,1,Contract,Check-Out,3500,
No Meal,0, Iran  , Jaipur,0,77,2020,January,1,2,5,7,2,0,Online TA,TA/TO,C,800,5600,Non Refundable,1,Transient,Canceled,5600,
Half Meal,150, Iran  , Lucknow,0,53,2020,March,0,2,5,7,2,0,Offline TA/TO,TA/TO,F,500,3500,Non Refundable,3,Contract,Canceled,3650,
No Meal,0, China  , Goa,0,72,2022,April,0,3,5,8,2,0,Online TA,TA/TO,B,900,7200,Non Refundable,4,Transient,Canceled,7200,
Half Meal,150, Portugal  , Bangalore,1,119,2023,September,1,1,4,5,2,0,Online TA,TA/TO,E,600,3000,Refundable,1,Transient,Canceled,3150,
Half Meal,150,Europe, Bhopal,0,164,2022,June,1,3,9,12,2,0,Offline TA/TO,TA/TO,D,700,8400,Non Refundable,4,Transient,Canceled,8550,
Bed & Breakfast,100,USA  , Indore,1,64,2025,January,0,0,5,5,1,0,Online TA,TA/TO,B,900,4500,Non Refundable,2,Transient,No-Show,4600,
Self Catering,200, Portugal  , Kolkata,1,89,2023,July,0,1,5,6,2,0,Online TA,TA/TO,D,700,4200,Advance,1,Transient,Check-Out,4400,
Full Meal,300, Spain  , Chennai,1,57,2023,May,1,2,5,7,1,0,Offline TA/TO,TA/TO,A,1000,7000,Advance,1,Contract,No-Show,7300,
Self Catering,200, Norway  , Hyderabad,0,54,2025,July,1,2,5,7,2,0,Offline TA/TO,TA/TO,D,700,4900,Advance,3,Transient,Check-Out,5100,
Full Meal,300,USA  , Delhi,0,172,2024,December,1,2,5,7,2,0,Offline TA/TO,TA/TO,C,800,5600,No Deposit ,4,Contract,Check-Out,5900,
Full Meal,300, Iran  , Jaipur,0,60,2022,October,1,0,4,4,2,0,Offline TA/TO,TA/TO,D,700,2800,Advance,2,Transient,Check-Out,3100,
Self Catering,200, Italy  , Chandigarh,1,13,2025,November,0,2,5,7,2,0,Direct,Direct,E,600,4200,Non Refundable,4,Transient,Check-Out,4400,
Half Meal,150, China  , Chandigarh,0,165,2023,October,1,2,5,7,2,0,Offline TA/TO,TA/TO,E,600,4200,Advance,4,Transient,Canceled,4350,
No Meal,0, China  , Lucknow,1,57,2020,February,0,2,5,7,1,0,Offline TA/TO,TA/TO,E,600,4200,No Deposit ,4,Contract,Check-Out,4200,
Full Meal,300, Nepal  , Mumbai,0,55,2022,June,0,2,5,7,2,0,Offline TA/TO,TA/TO,B,900,6300,No Deposit ,1,Contract,Canceled,6600,
No Meal,0,Europe, Kolkata,1,76,2023,April,1,2,6,8,2,0,Online TA,TA/TO,E,600,4800,Advance,4,Transient,No-Show,4800,
Bed & Breakfast,100, Portugal  , Kochi,0,81,2022,October,1,2,6,8,2,0,Online TA,TA/TO,C,800,6400,Advance,1,Transient,Check-Out,6500,
Bed & Breakfast,100, Iran  , Pune,1,76,2022,November,1,2,6,8,2,0,Online TA,TA/TO,A,1000,8000,No Deposit ,2,Transient,No-Show,8100,
Half Meal,150, Norway  , Mumbai,0,96,2020,August,1,2,7,9,2,0,Offline TA/TO,TA/TO,E,600,5400,No Deposit ,3,Transient,Check-Out,5550,
Full Meal,300, Norway  , Delhi,0,61,2022,June,1,2,10,12,2,0,Online TA,TA/TO,F,500,6000,Refundable,2,Transient,Canceled,6300,
Self Catering,200, Italy  , Hyderabad,0,19,2021,January,0,0,1,1,2,0,Direct,Direct,A,1000,1000,No Deposit ,3,Transient,Canceled,1200,
No Meal,0, Italy  , Mumbai,0,50,2020,July,1,0,1,1,1,1,Direct,Direct,F,500,500,Advance,2,Transient,Check-Out,500,
